,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
1997-01-09,0.9032258064516441,-0.20999999999999996,-1.741935483870975,-2.4350322580645525,-17.20903225806478
1997-01-10,0.9032258064515872,0.1200000000000001,-1.741935483870975,-2.4350322580644956,-17.20903225806478
1997-01-11,0.9032258064515872,0.3366666666666669,-1.741935483870975,-2.4350322580644956,-17.209032258064326
1997-01-12,0.9032258064515872,0.05333333333333323,-1.741935483870975,-2.4350322580645525,-17.209032258064326
1997-01-13,0.9032258064516441,0.05333333333333323,-1.741935483870975,-2.4350322580644956,-17.209032258064326
1997-01-14,0.9032258064516441,0.036666666666666625,-1.741935483870975,-2.4350322580644956,-17.20903225806478
1997-01-15,0.9032258064515872,0.33999999999999986,-1.741935483870975,-2.4350322580645525,-17.20903225806478
1997-01-16,0.9032258064515872,0.7000000000000002,-1.741935483870975,-2.4350322580644956,-17.209032258064326
1997-01-17,0.9032258064516441,-0.4299999999999997,-1.7419354838708614,-2.4350322580644956,-17.209032258064326
1997-01-18,0.9032258064516441,-1.0166666666666666,-1.7419354838708614,-2.4350322580645525,-17.209032258064326
1997-01-19,0.9032258064515872,-0.43333333333333357,-1.741935483870975,-2.4350322580644956,-17.209032258064326
1997-01-20,0.9032258064515872,-0.43333333333333357,-1.741935483870975,-2.4350322580644956,-17.20903225806478
1997-01-21,0.9032258064515872,-0.48666666666666636,-1.741935483870975,-2.4350322580645525,-17.20903225806478
1997-01-22,0.9032258064516441,-0.20999999999999996,-1.741935483870975,-2.435032258064524,-17.209032258064326
1997-01-23,0.9032258064516441,-0.03000000000000025,-1.741935483870975,-2.435032258064524,-17.209032258064326
1997-01-24,0.9032258064515872,-0.4299999999999997,-1.741935483870975,-2.435032258064524,-17.20903225806478
1997-01-25,0.9032258064515872,-0.21999999999999975,-1.741935483870975,-2.4350322580644956,-17.20903225806478
1997-01-26,0.9032258064516441,0.23999999999999977,-1.741935483870975,-2.435032258064524,-17.209032258064326
1997-01-27,0.9032258064516441,0.23999999999999977,-1.741935483870975,-2.435032258064524,-17.209032258064326
1997-01-28,0.9032258064515872,0.18999999999999995,-1.741935483870975,-2.435032258064524,-17.209032258064326
1997-01-29,0.9032258064515872,-0.06999999999999984,-1.741935483870975,-2.435032258064524,-17.209032258064326
