,oilrig_count,oil_price,oilconsumption,oilproduction,oilstorage
1997-01-09,0.9032258064516441,0.05000000000000071,488.57142857142753,12.857142857143117,1173.1428571428405
1997-01-10,0.9032258064515872,-0.40000000000000213,488.57142857142753,12.857142857143117,1173.1428571428405
1997-01-11,0.9032258064515872,-0.46666666666666856,319.8571428571413,3.142857142856883,287.57142857147846
1997-01-12,0.9032258064515872,-0.6333333333333329,151.1428571428587,-6.5714285714284415,-598.0
1997-01-13,0.9032258064516441,-0.6333333333333329,151.1428571428587,-6.5714285714284415,-598.0
1997-01-14,0.9032258064516441,-0.4166666666666643,151.14285714285506,-6.5714285714284415,-598.0
1997-01-15,0.9032258064515872,0.75,151.14285714285506,-6.5714285714284415,-598.0
1997-01-16,0.9032258064515872,0.34999999999999787,151.1428571428587,-6.5714285714284415,-598.0
1997-01-17,0.9032258064516441,-0.5500000000000007,151.1428571428587,-6.5714285714284415,-598.0
1997-01-18,0.9032258064516441,-0.14999999999999858,24.714285714286234,2.0,124.85714285715949
1997-01-19,0.9032258064515872,-0.1999999999999993,-101.71428571428623,10.571428571428442,847.714285714319
1997-01-20,0.9032258064515872,-0.1999999999999993,-101.71428571428623,10.571428571428442,847.714285714319
1997-01-21,0.9032258064515872,-0.3999999999999986,-101.71428571428623,10.571428571428442,847.7142857142026
1997-01-22,0.9032258064516441,-0.7000000000000028,-101.71428571428623,10.571428571428442,847.7142857142026
1997-01-23,0.9032258064516441,-0.9499999999999993,-101.71428571428623,10.571428571428442,847.714285714319
1997-01-24,0.9032258064515872,-0.5499999999999972,-101.71428571428623,10.571428571428442,847.714285714319
1997-01-25,0.9032258064515872,0.0,-39.8571428571413,4.1428571428577925,1144.5714285714785
1997-01-26,0.9032258064516441,0.0,22.0,-2.2857142857146755,1441.4285714285215
1997-01-27,0.9032258064516441,0.0,22.0,-2.2857142857146755,1441.4285714285215
1997-01-28,0.9032258064515872,0.04999999999999716,22.0,-2.285714285713766,1441.428571428638
1997-01-29,0.9032258064515872,0.6499999999999986,22.0,-2.285714285713766,1441.428571428638
1997-01-30,0.9032258064516441,0.9000000000000021,22.0,-2.2857142857146755,1441.4285714285215
1997-01-31,0.9032258064516441,-0.3500000000000014,22.0,-2.2857142857146755,1441.4285714285215
1997-02-01,0.9032258064515872,-0.6333333333333364,74.03600000000006,8.14714285714308,16610.71428571432
1997-02-02,1.2016129032257936,0.03333333333333499,-3.303333333333285,4.074999999999818,13748.333333333372
1997-02-03,1.5,0.03333333333333499,-132.6786666666667,-10.430000000000291,-4283.333333333372
1997-02-04,1.5,-0.18333333333333357,-132.6786666666667,-10.429999999999382,-4283.333333333372
1997-02-05,1.5,-0.3000000000000007,-132.6786666666667,-10.429999999999382,-4283.333333333256
1997-02-06,1.5,-0.9499999999999993,-132.6786666666667,-10.430000000000291,-4283.333333333372
1997-02-07,1.5,-1.5999999999999979,-132.6786666666667,-10.430000000000291,-4283.333333333372
1997-02-08,1.5,-0.6999999999999993,-36.76790476190581,-2.500714285714821,-1501.2380952381063
1997-02-09,1.5,0.09999999999999787,59.1428571428587,5.4285714285715585,1280.8571428571595
1997-02-10,1.5,0.09999999999999787,59.1428571428587,5.4285714285715585,1280.8571428571595
1997-02-11,1.5,-0.04999999999999716,59.142857142855064,5.4285714285715585,1280.8571428571595
1997-02-12,1.5,-0.6999999999999993,59.142857142855064,5.4285714285715585,1280.8571428571595
1997-02-13,1.5,-0.25,59.1428571428587,5.4285714285715585,1280.8571428571595
1997-02-14,1.5,0.6499999999999986,59.1428571428587,5.4285714285715585,1280.8571428571595
1997-02-15,1.5,0.32499999999999574,-14.285714285713766,1.8571428571422075,617.0
1997-02-16,1.5,0.05000000000000071,-87.71428571428623,-1.7142857142853245,-46.85714285715949
1997-02-17,1.5,0.05000000000000426,-87.71428571428623,-1.7142857142853245,-46.85714285715949
1997-02-18,1.5,0.05000000000000071,-87.71428571428623,-1.714285714286234,-46.85714285715949
1997-02-19,1.5,0.17499999999999716,-87.71428571428623,-1.714285714286234,-46.85714285715949
1997-02-20,1.5,-0.5500000000000007,-87.71428571428623,-1.7142857142853245,-46.85714285715949
1997-02-21,1.5,-1.0499999999999972,-87.71428571428623,-1.7142857142853245,-46.85714285715949
1997-02-22,1.5,-0.5499999999999972,-176.28571428571377,-0.1428571428577925,-798.1428571428405
1997-02-23,1.5,-0.40000000000000213,-264.8571428571413,1.4285714285715585,-1549.4285714285215
1997-02-24,1.5,-0.40000000000000213,-264.8571428571413,1.4285714285715585,-1549.4285714285215
1997-02-25,1.5,-0.25,-264.85714285714494,1.4285714285715585,-1549.428571428638
1997-02-26,1.5,0.10000000000000142,-264.85714285714494,1.4285714285715585,-1549.428571428638
1997-02-27,1.5,-0.14999999999999858,-264.8571428571413,1.4285714285715585,-1549.4285714285215
1997-02-28,1.5,-0.8000000000000007,-264.8571428571413,1.4285714285715585,-1549.4285714285215
1997-03-01,1.5,-0.5166666666666657,757.1194285714264,-48.238714285715105,29285.28571428568
1997-03-02,0.6209677419354875,-0.03333333333333499,816.123333333333,-50.96083333333354,25938.333333333372
1997-03-03,-0.2580645161290249,-0.03333333333333499,-146.84933333333174,-4.01566666666622,-8243.333333333372
1997-03-04,-0.2580645161290249,0.4833333333333343,-146.84933333333538,-4.01566666666713,-8243.333333333372
1997-03-05,-0.2580645161290249,0.25,-146.84933333333538,-4.01566666666713,-8243.333333333256
1997-03-06,-0.2580645161290249,0.25,-146.84933333333174,-4.01566666666622,-8243.333333333372
